year_aliya,month_aliya,age,age_tday,gender,erez_moza,subcont,yeshuv_klita,machoz,mikzoa
2021,01,17,20,נקבה,פנמה,דרום אמריקה,ניר חן,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2021,10,75,77,זכר,צרפת,מערב אירופה,ניר חן,מחוז הדרום וירושלים,פנסיונר / רנטייר
2021,10,63,65,נקבה,צרפת,מערב אירופה,ניר חן,מחוז הדרום וירושלים,סחר בינלאומי
2021,11,70,72,זכר,בריטניה,מערב אירופה,ראש פינה,מחוז הצפון,פנסיונר / רנטייר
2021,12,19,20,נקבה,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,סטודנט
2021,03,90,93,זכר,איטליה,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,פנסיונר / רנטייר
2021,03,43,46,נקבה,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,איש עסקים
2021,08,44,46,זכר,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,מנהל רשת מחשב
2021,08,44,46,נקבה,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,וטרינר
2021,08,14,16,נקבה,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,לא צויין
2021,08,11,14,זכר,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,"תלמיד בי""ס יסודי ותכון"
2021,08,8,10,זכר,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,"תלמיד בי""ס יסודי ותכון"
2021,08,23,25,זכר,"ארה""ב",צפון אמריקה,יסוד המעלה,מחוז הצפון,סטודנט
2021,07,16,18,זכר,גרמניה,מערב אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2021,07,14,16,זכר,גרמניה,מערב אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2021,08,20,22,זכר,גרמניה,מערב אירופה,אופקים,מחוז הדרום וירושלים,בלתי מקצועי
2021,08,18,20,נקבה,גרמניה,מערב אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2021,12,57,58,זכר,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,עורך דין
2021,01,24,27,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,לא צויין
